172.24.0.1 - - [17/Feb/2023:06:02:00 +0000] "GET /api/search HTTP/1.1" 500 619650 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:06:02:28 +0000] "GET /api/search HTTP/1.1" 500 619707 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:06:02:50 +0000] "GET /api/search HTTP/1.1" 500 619639 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:06:04:03 +0000] "GET /api/search HTTP/1.1" 500 619691 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:06:06:27 +0000] "GET /api/search HTTP/1.1" 200 12 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:06:06:56 +0000] "GET /api/search HTTP/1.1" 500 619552 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:06:07:28 +0000] "GET /api/add-index HTTP/1.1" 200 21 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:06:08:02 +0000] "GET /api/search HTTP/1.1" 200 481 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:06:08:13 +0000] "GET /api/add-index HTTP/1.1" 500 619608 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:06:08:25 +0000] "GET /api/search HTTP/1.1" 200 481 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:06:10:35 +0000] "GET /api/search HTTP/1.1" 500 619131 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:06:13:18 +0000] "GET /api/search HTTP/1.1" 200 594568 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:06:21:19 +0000] "GET /api/add-index HTTP/1.1" 200 21 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:06:21:38 +0000] "GET /api/search HTTP/1.1" 200 481 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:06:21:49 +0000] "GET /api/add-index HTTP/1.1" 500 619546 "-" "PostmanRuntime/7.29.2"
